0 -16 0.0099999998 
0.0099999998 -13.990823 0.019825945 
0.02 -12.034154 0.029562211 
0.029999999 -10.147782 0.039206907 
0.039999999 -8.3440914 0.048759133 
0.050000001 -6.6310062 0.058218632 
0.059999999 -5.0130019 0.067585573 
0.07 -3.4920001 0.076860368 
0.079999998 -2.0680885 0.086043619 
0.090000004 -0.74006426 0.095136009 
0.1 0.49416649 0.1041383 
0.11 1.6372997 0.11305128 
0.12 2.6924269 0.12187577 
0.13 3.6628888 0.1306126 
0.14 4.5521688 0.13926262 
0.15000001 5.3638191 0.14782664 
0.16 6.1014075 0.15630551 
0.17 6.768477 0.16470008 
0.18000001 7.3685193 0.17301115 
0.19 7.9049549 0.18123956 
0.2 8.3811188 0.18938611 
0.20999999 8.8002501 0.19745164 
0.22 9.1654863 0.20543693 
0.23 9.4798565 0.21334277 
0.23999999 9.7462826 0.22116996 
0.25 9.9675722 0.22891928 
0.25999999 10.146425 0.2365915 
0.27000001 10.285429 0.24418738 
0.28 10.38706 0.25170767 
0.28999999 10.453691 0.25915316 
0.30000001 10.487581 0.26652455 
0.31 10.490893 0.27382261 
0.31999999 10.465685 0.28104806 
0.33000001 10.413915 0.2882016 
0.34 10.337447 0.29528394 
0.34999999 10.238053 0.30229583 
0.36000001 10.117412 0.30923796 
0.37 9.9771185 0.31611097 
0.38 9.8186808 0.32291561 
0.38999999 9.6435289 0.32965255 
0.40000001 9.4530125 0.33632243 
0.41 9.2484074 0.34292594 
0.41999999 9.0309172 0.34946373 
0.43000001 8.8016768 0.35593647 
0.44 8.5617552 0.3623448 
0.44999999 8.3121567 0.36868936 
0.46000001 8.0538263 0.37497076 
0.47 7.787652 0.38118964 
0.47999999 7.5144644 0.38734666 
0.49000001 7.235043 0.39344236 
0.5 6.9501171 0.39947742 
0.50999999 6.6603675 0.4054524 
0.51999998 6.3664298 0.41136792 
0.52999997 6.0688977 0.41722456 
0.54000002 5.7683229 0.4230229 
0.55000001 5.4652181 0.42876351 
0.56 5.1600599 0.43444699 
0.56999999 4.8532901 0.44007388 
0.57999998 4.5453172 0.44564477 
0.58999997 4.2365189 0.45116016 
